,Model_ds,AUC-ROC,AUC-PR,Applied_Threshold,Balanced_Accuracy,Brier_Score,Brier_Score_Bal,ECE,Calibration_Slope,Accuracy,Recall (Sens),Precision (PPV),Specificity,NPV,True_Positives,False_Positives,True_Negatives,False_Negatives
33,standard2_mcdropout/40% Temporal,0.6677663195268948,0.24362105438642062,0.16727657616138458,0.6334057012336465,0.11990932375192642,0.33142631650820104,0.03550183322201008,0.1545366505960109,0.6472684085510689,0.6138211382113821,0.2323076923076923,0.652990264255911,0.9081237911025145,151,499,939,95
34,standard2/60% Temporal,0.6545280821375667,0.2212125571030126,0.19789054989814758,0.6276869409862389,0.12245194613933563,0.33015588304097804,0.0467526798541359,0.12240023520515814,0.7036817102137767,0.5203252032520326,0.25147347740667975,0.7350486787204451,0.8995744680851064,128,381,1057,118
35,standard2_mcdropout/60% Temporal,0.654692040661714,0.22154347452590056,0.20069603621959686,0.6304685821545282,0.12245713174343109,0.3297028181915544,0.04611043130974517,0.12341049787968374,0.7084323040380047,0.5203252032520326,0.2554890219560878,0.7406119610570236,0.9002535925612849,128,373,1065,118
36,standard3/0%,0.6919982586473987,0.2754499244028472,0.15770702064037323,0.6563259721609733,0.11803708225488663,0.34614786920204593,0.03348290372967295,0.19557774916954854,0.666270783847981,0.6422764227642277,0.25,0.6703755215577191,0.9163498098859315,158,474,964,88
37,standard3_mcdropout/0%,0.6910823524090597,0.27552084176768066,0.16387836635112762,0.6575047774121692,0.11808089911937714,0.345898974154898,0.03364669232498722,0.19609713178404992,0.6941805225653207,0.6056910569105691,0.26278659611992944,0.7093184979137691,0.9131602506714414,149,418,1020,97
38,standard3/10% MCAR,0.6866526453859809,0.26601143168166846,0.14763228595256805,0.6449025860216877,0.11835311353206635,0.3460352529625125,0.025520636410299787,0.18792186666223773,0.6122327790973872,0.6910569105691057,0.22757697456492637,0.5987482614742698,0.9188900747065102,170,577,861,76
39,standard3_mcdropout/10% MCAR,0.6872151927360719,0.26606142788378867,0.15734417736530304,0.6470453543200244,0.11837957054376602,0.3457775815162595,0.027631654211645172,0.18913299650651796,0.6561757719714965,0.6341463414634146,0.24186046511627907,0.6599443671766342,0.9133782483156881,156,489,949,90
40,standard3/20% MCAR,0.6899459502244535,0.27204609035196703,0.16891883313655853,0.6560885149880706,0.11798186600208282,0.3453741721715067,0.040504164951731786,0.19446786485320505,0.7090261282660333,0.5813008130081301,0.269811320754717,0.7308762169680111,0.9107452339688041,143,387,1051,103
41,standard3_mcdropout/20% MCAR,0.6900194488732092,0.2713729776161647,0.1739976555109024,0.654324547417936,0.11800767481327057,0.34508079579730977,0.040741135439262534,0.19562684271208222,0.7232779097387173,0.556910569105691,0.2773279352226721,0.7517385257301809,0.9084033613445378,137,357,1081,109
42,standard3/40% MCAR,0.6689309904225609,0.23590154912934003,0.15252409875392914,0.6484870585840768,0.11999239772558212,0.3481058264775876,0.02503475636208426,0.15926540553810636,0.6241092636579573,0.6829268292682927,0.23236514522821577,0.614047287899861,0.918834547346514,168,555,883,78
